rank	av	corpus_count
159	гьайбатаб	85
160	мискин	85
161	изну	82
162	хӀаким	78
163	намус	77
164	кӀалгӀа	77
165	хӀатта	76
166	алжан	75
167	хӀабиб	71
168	кеп	70
169	зигара	69
170	шагӀбан	68
171	такрар	68
172	гӀид	67
173	дагӀба	67
174	къавм	67
175	Инжил	66
176	мадраса	66
177	хӀадис	66
178	ишара	65
179	малла	63
180	гӀажам	63
181	гӀалим	62
182	гъазават	62
183	тӀагӀам	62
184	насихӀат	61
185	зиярат	61
186	шигӀру	60
187	зулму	60
188	хатӀ	60
189	хӀарам	60
190	масдар	59
191	махсара	58
192	гӀадлу	57
193	гӀалам	57
194	мавлид	55
195	туснахъ	54
196	агьлу	53
197	хӀилла	52
198	гӀибадат	52
199	ахират	51
200	жавгьар	50
201	хиял	50
202	асир	49
203	тӀабигӀияб	48
204	ният	47
205	хӀасрат	47
206	шаригӀат	46
207	имамат	45
208	гӀажаибаб	45
209	мажмугӀ	43
210	рахӀму	43
211	васият	43
212	зат	43
213	садакъа	43
214	гӀакъуба	42
215	къамус	41
216	мазгьаб	41
217	тӀарикъат	40
218	машрикъ	40
219	мутӀигӀ	40
220	къалам	39
221	мухӀканаб	39
222	гъази	38
223	аманат	38
224	таваккал	38
225	ихӀсан	37
226	вагӀза	36
227	сахӀ	36
228	инкъилаб	36
229	мустахӀикъаб	36
230	булбул	36
231	мурид	35
232	гьижра	35
233	асхӀаб	34
234	вазир	34
235	гъалатӀ	33
236	алип	32
237	залим	32
238	даимаб	31
239	давла	31
240	рахӀмат	31
241	хамиз	30
242	пакъир	30
243	макру	30
244	гӀазаб	30
245	итни	29
246	пагьму	29
247	рукну	29
248	суннат	29
249	хайир	27
250	къаркъала	27
251	хатӀа	27
252	малаик	26
253	жаназа	26
254	ишан	26
255	жумла	26
256	мактаб	26
257	саламат	26
258	рикъзи	25
259	уммат	25
260	мигӀраж	25
261	гьижа	24
262	васигат	24
263	шагьид	24
264	мирза	23
265	хӀаж	23
266	шагьадат	23
267	насиб	23
268	завал	23
269	магъриб	23
270	гӀарза	23
271	шарип	22
272	далил	22
273	хиянат	22
274	бахил	22
275	тавбу	21
276	маймалак	21
277	мамлакат	20
278	абадияб	20
279	закагӀат	20
280	халип	20
281	насаб	19
282	такъсир	19
283	гӀашикъ	19
284	мискинаб	18
285	пиргӀан	18
286	инсаният	18
287	гӀизраил	18
288	вали	18
289	макъам	17
290	рисалат	16
291	мугӀжизат	16
292	къулгӀа	16
293	сихӀир	16
294	гӀузру	15
295	талат	15
296	бугьтан	15
297	КагӀба	15
298	палхӀасил	15
299	мармар	15
300	щамат	15
301	къибла	15
302	напс	15
303	къагьва	14
304	лазат	14
305	ракагӀат	14
306	гӀасияб	14
307	хӀуригат	14
308	алхӀам	14
309	тӀавап	14
310	арбагӀ	13
311	къисас	13
312	ятим	13
313	пахру	13
314	назму	12
315	масихӀ	12
316	ихтилат	12
317	гӀарш	12
318	шавкъ	12
319	тамаша	12
320	назир	11
321	таврат	11
322	къулгьу	11
323	хъатир	11
324	даптар	11
325	ахӀмакъ	11
326	зиян	10
327	динар	10
328	шагьру	10
329	малгӀун	10
330	илбис	10
331	хӀарим	10
332	ришват	10
333	сихӀру	10
334	гӀадил	10
335	вахӀю	10
336	ижара	10
337	хӀужжа	9
338	минара	9
339	иншааллагь	9
340	якъут	9
341	таж	9
342	хӀамам	9
343	хандакъ	9
344	мантӀикъ	9
345	атлас	9
346	гӀажал	9
347	къуба	9
348	мугьажир	9
349	варис	9
350	игӀлан	9
351	китаб	9
352	мугьру	8
353	зина	8
354	зайтун	8
355	накълу	8
356	нигат	8
357	шукру	8
358	жигьад	8
359	мунпагӀат	8
360	хӀапиз	8
361	жагьил	8
362	тӀагӀат	8
363	кашиш	7
364	жаза	7
365	мудир	7
366	тӀалиб	7
367	хӀалимаб	7
368	гъибат	7
369	муршид	7
370	жасус	7
371	махлукъат	7
372	нажас	7
373	милк	7
374	зикру	6
375	гьидаят	6
376	шавкат	6
377	сахӀиб	6
378	аман	6
379	илгьам	6
380	инсап	6
381	халикъ	6
382	катиб	6
383	катан	5
384	къарну	5
385	насир	5
386	лугъат	5
387	маслахӀат	5
388	гӀакса	5
389	раис	5
390	алмас	5
391	гъара	5
392	сахӀир	5
393	шайтӀан	5
394	буракъ	5
395	махӀкама	5
396	такъия	4
397	гӀишкъу	4
398	капир	4
399	асад	4
400	мизан	4
401	жанзабил	4
402	шаклу	4
403	напакъа	4
404	вакъигӀат	4
405	рахӀим	4
406	иблис	4
407	такъва	4
408	барас	4
409	хӀалива	4
410	маржан	4
411	гӀаврат	4
412	халипа	3
413	диргьам	3
414	маймун	3
415	риваят	3
416	рахӀман	3
417	хӀасад	3
418	силсила	3
419	къасидат	3
420	гъарб	3
421	ахирзаман	3
422	истикълал	3
423	гӀабид	3
424	мударис	3
425	марсият	3
426	мурапа	3
427	сиратӀ	3
428	хӀайранаб	3
429	шапагӀат	3
430	мунапикъ	3
431	халгӀат	3
432	пасахӀат	3
433	шагьват	3
434	хӀат	2
435	сапун	2
436	жаннат	2
437	калима	2
438	нун	2
439	мушавара	2
440	таварих	2
441	пазилат	2
442	гӀанкабут	2
443	мархӀаба	2
444	табут	2
445	карамат	2
446	рагӀият	2
447	тапсир	2
448	бидгӀа	2
449	хӀелму	2
450	икрам	2
451	пасикъ	2
452	жарадат	2
453	мужалат	2
454	хайрат	2
455	махӀшар	2
456	имтихӀан	2
457	дият	2
458	хӀабибат	1
459	хӀасид	1
460	вазипа	1
461	ихванал	1
462	парз	1
463	гӀибрат	1
464	риба	1
465	патва	1
466	тӀабиб	1
467	махӀла	1
468	исрап	1
469	хӀарир	1
470	зулмат	1
471	сирру	1
472	къарар	1
473	нипакъ	1
474	тӀупан	1
475	кира	1
476	мухӀарам	1
477	хӀамд	1
478	михӀраб	1
479	шаркъ	1
480	гӀаба	1
481	пигӀлу	1
482	астагъфируллагь	1
483	къудрат	1
484	гъурбат	1
485	къамар	1
486	капарат	1
487	назру	1
488	сивак	1
489	гъаплат	1
490	минбар	1
491	жагьлу	1
492	нукътӀа	0
493	жайрахӀ	0
494	давлат	0
495	таватур	0
496	рубагӀият	0
497	васвас	0
498	иттифакъ	0
499	хӀусну	0
500	жисму	0
501	исму	0
502	гӀамбар	0
503	хатӀар	0
504	паслу	0
505	тӀагӀарат	0
506	жаллат	0
507	шажагӀат	0
508	исбат	0
509	сима	0
510	гӀакъикъ	0
511	кухӀлу	0
512	синжир	0
513	муруват	0
514	никахӀ	0
515	жагьаннам	0
516	нажат	0
517	махраж	0
518	кагьруба	0
519	даллак	0
520	сижин	0
521	къиямат	0
522	тагӀзир	0
523	муртад	0
524	гӀашират	0
525	мазар	0
526	мархӀам	0
527	мусибат	0
528	къабру	0
529	макънатӀис	0
530	хӀайиз	0
531	хӀалилат	0
532	шикаят	0
533	рухса	0
534	гӀиприт	0
535	хӀамият	0
536	халват	0
537	шугьрат	0
538	хӀаят	0
539	лагӀнат	0
540	мусават	0
541	варакъ	0
542	къирмиз	0
543	пурсат	0
544	напас	0
545	сангӀат	0
546	мугьлат	0
547	пуркъан	0
548	дакъикъа	0
549	расму	0
550	макир	0
551	къарият	0
552	сираж	0
553	шубгьат	0
554	натижа	0
555	тапсил	0
556	хидмат	0
557	купру	0
558	ихӀрам	0
559	хилап	0
560	замзам	0
561	зуригат	0
562	шараб	0
563	пилта	0
564	машаллагь	0
565	къавлу	0
566	игӀтибар	0
567	игӀтикъад	0
568	къайим	0
569	хъумус	0
570	хӀамим	0
571	пакъру	0
572	сахӀабат	0
573	къабза	0
574	лахӀим	0
575	даира	0
576	пазлу	0
577	батӀрикъ	0
578	гӀасимат	0
579	нусрат	0
580	ижтимагӀият	0
581	такъсираб	0
582	исрапаб	0
583	субхӀаналлагь	0
584	валлагьилгӀазим	0
585	аманаллагь	0
586	гӀазаналлагь	0
587	лайлатулкъадир	0
588	бисмила	0
589	вассалам	0
590	хаин	0
591	ахӀмакъаб	0
592	аслу-насаб	0
